term
(high-dose cytarabine/filgrastim/fludarabine/gemtuzumab ozogamicin/idarubicin regimen
afinitor regimen
afinitor/nexavar regimen
after chemotherapy
age at cycle end
age at cycle start
age at protocol treatment modification
age at record of immunotherapy
age at record of systemic therapy cycle
age at report of immunotherapy
age at report of systemic therapy cycle
age at start of cellular immunotherapy
age in days at cellular immunotherapy start
age in days at cycle end
age in days at cycle start
age in days at date of immunotherapy complete
age in days at date of immunotherapy start
age in days at end date of immunotherapy
age in days at first chemotherapy
age in days at initial chemotherapy end date
age in days at initial chemotherapy start date
age in days at protocol treatment modification
age in days at start date of immunotherapy
age in days at start of cellular immunotherapy
age in days of protocol treatment modification
age in days when off protocol therapy or study
age_at_cycle_end
age_at_cycle_start
ai regimen
aida regimen
aie regimen
aim regimen
albumin-bound paclitaxel regimen
albumin-bound paclitaxel-carboplatin-pembrolizumab regimen
albumin-bound paclitaxel-cisplatin-pembrolizumab regimen
albumin-bound paclitaxel/pembrolizumab regimen
albumin-bound sirolimus regimen
aldesleukin high-dose regimen
aldesleukin intralesional regimen
aldesleukin regimen
alecensa regimen
alectinib regimen
alemtuzumab regimen
alemtuzumab-pentostatin regimen
alemtuzumab-rituximab regimen
alemtuzumab/pentostatin regimen
alemtuzumab/rituximab regimen
alimta regimen
aliqopa regimen
alkeran regimen
all non-protocol therapy table
all off protocol therapy/study table
all-trans retinoic acid regimen
allold07 regimen
alomad regimen
alpelisib-fulvestrant regimen
alpelisib/fulvestrant regimen
alternate protocol identifier
alternative location of protocol changes
altretamine regimen
altretamine/cisplatin/cyclophosphamide/fluorouracil regimen
alunbrig regimen
amivantamab regimen
amivantamab-vmjw regimen
amivantamab-vmjw/lazertinib regimen
amivantamab/carboplatin/pemetrexed regimen
amivantamab/lazertinib regimen
aml cellular immunotherapy table
aml off protocol therapy/study table
amsacrine/azacitidine/etoposide regimen
amtagvi regimen
anakinra regimen
analysis specified in protocol
anastrozole regimen
anastrozole-abemaciclib regimen
anastrozole-lapatinib regimen
anastrozole-lapatinib-trastuzumab regimen
anastrozole-palbociclib regimen
anastrozole-ribociclib regimen
anastrozole-trastuzumab regimen
anastrozole/abemaciclib regimen
anastrozole/fulvestrant regimen
anastrozole/goserelin regimen
anastrozole/lapatinib regimen
anastrozole/lapatinib/trastuzumab regimen
anastrozole/leuprolide regimen
anastrozole/palbociclib regimen
anastrozole/ribociclib regimen
anastrozole/tamoxifen regimen
anastrozole/trastuzumab regimen
